a,kb. huruf pertama dalam abjad Inggris. 2 angka yang baik sekali. 3 nada  A.   A- bomb bom atom.  A-1 ks. 1 kelas satu. 2 ulung.
"a la, a la","menurut , secara. a. carte menurut kartu makanan, boleh memesan satu demi satu. a. Hollywood secara Hollywood. a. king dilapisi dgn lombok hijau. chicken a. king ayam yang dilapisi dgn lombok hijau."
a priori,kk. berdasar teori daripada kenyataan yang sebenarnya.
a.c.,(alternating current) arus bolak-balik
a.d.,[Anno Domini] T.M. [Tarich Masehi] sesudah lahirnya Nabi Isa.
a.m.,(ante meridiem) waktu dari jam 12 malam hingga 12 siang 7 a.m.Jam 7 pagi .
aaa,1 ( American Automobile Association)  Ikatan Mobil Amerika. 2 (American Antrhopological Association) Ikatan Ilmu Bangsa-Bangsa Amerika.
aaas,(American Association for the  Advacement of science)  Perkumpulan Amerika untuk Kemajuan Ilmu Pengetahuan.
aau,(Amateur Athletic Union) Perserikatan Atlit Amatir.
abaca,kb. pisang Manila/serat.
aback,kk. lih TAKE.
abacus,"kb. se(m)poa, sipoa."
abaft,"kk. buritan,  di belakang."
abalone,kb. tiram/kerang laut.
abandon,"kb. bebas..--kkt. 1 meninggalkan (ship). 2 memutuskan (hope).3 melepaskan, meninggalkan, membuang. 4. menyerahkan."
abandoned,"ks. 1 yang ditinggalkan. an a. house or ship rumah atau kapal yang ditinggalkan. 2 yang dibuang. an a. child anak yang dibuang, anak yang tak diurus lagi."
abandonment,kb. 1 keadaan tertinggal. 2 dengan bebas.
abase,kkt. to a. o.s. before merendahkan diri terhadap.
abasement,"kb. penghinaan, kerendahan diri."
abash,kkt. memalukan.
abashed,"ks. malu, bingung, kebingungan."
abate,"kki. 1 (me)reda. The storm abated Angin ribut (me)reda. 2 mengurang, berkurang . The pain abated Sakitnya  mengurang. Perasaan sakit itu berkurang."
abattoir,"kb. pembantaian, pejagalan, tempat pemotongan."
abbess,kb. kepala biara wanita.
abbey,kb. biara.
abbot,kb. kepala biara pria.
abbreviate,"kkt  menyingkatkan, memendekkan --kki . menyingkat. he abbreviates a great deal in his memos  Ia menyingkat banyak dalam catatan - catatannya."
abbreviated,ks.  yang disingkatkan. a. shorts celana pendek yang pendek sekali.
abbreviation,"kb. 1 singkatan, kependekan. 2 perpendekan."
abc,kb. 1 abjad. That child knows his ABC's   Anak itu tahu abjad.             2 ( American Broadcasting Company) Perusahaan Siaran  Amerika.
abdicate,kkt. 1 turun takhta. 2 melepaskan . to a. o's responsibility melepaskan tanggung jawab nya. --kki. turun takhta. The king abdicated Raja  itu turun  takhta.
abdication,abdication
abdomen,"ks. perut, daerah perut."
abdominal,ks. yang berhubungan dengan perut  a. operation pembedahan perut.
abduct,"kkt. menculik, mengalap, melarikan (dengan paksa). The stranger abducted the woman. Orang yang tak dikenal itu menculik perempuan itu."
abduction,kb. penculikan. A. of  a child is a crime punishable by death Penculikan anak adalah kejahatan yang dapat dihukum mati.
abductor,kb. penculik.
abeam,kk. (ditengah) rusuk.
abegging,"ks.,kk. tidak diinginkan.Scholarships often go a.  Beasiswa-beasiswa sering tak dimanfaatkan."
aberrant,ks. yang menyimpang dari kebiasaan  a. behavior tingkah laku yang menyimpang dari kebiasaan
aberration,"kb. penyimpangan, penyelewengan, keluar-kebiasaan, sikap/tindakan yang berlainan."
abet,kkt. (abetted) bersekongkol dengan. He abetted his companion in the theft Ia bersekongkol dengan temannya dalam pencurian itu.
abetment,kb.. penghasutan.
abettor,"kb. kaki tangan,  penolong dalam kejahatan."
abeyance,"kb. penundaan. in a. terkatung--       katung, ditangguhkan. The matter was held in a. until the committee  presented its report Masalah itu untuk sementara ditangguhkan pembahasannya. menunggu sampai panitia  menyampaikan laporannya."
abhor,kkt. (abhorred) benci akan. tidak menyukai. I a. his wickedness  Saya benci akan kejahatannya. Nature     abhors a vacuum Alam tidak menyukai kehampaan.
abhorred,"kb. benci, kebencian, kejijikan, kemualan.  his a. of corruption kebenciannya akan kecurangan."
abhorred,"kb. benci, kebencian, kejijikan, kemualan.  his a. of corruption kebenciannya akan kecurangan."
abhorrent,"ks. benci, jijik. The murder was a. to him Pembunuhan itu menjijikkan baginya."
abide,"--kki. 1 ada. Hope still abides Harapan masih ada. 2 tinggal, diam. to a. in the forest tinggal/berdiam di hutan."
abide,"--kki. 1 ada. Hope still abides Harapan masih ada. 2 tinggal, diam. to a. in the forest tinggal/berdiam di hutan."
abiding,"ks. kekal, tak kunjung hilang. he has an a. interest in money  Ia mempunyai perhatian yang tak kunjung hilang  terhadap uang."
ability,"kb. ( j.-ties) 1 kecakapan, bakat, kemampuan. 2 kemampuan. 3 ketangkasan. 4 kesanggupan."
abject,"ks. hina (papa), hina dina, rendah. a. poverty kemiskinan yang hina papa."
ablative,"ks. ablatif, kasus kelima."
ablaze,ks. 1 terbakar berkobar-kobar. The building was a. Gedung itu sedang terbakar berkobar-kobar. 2 terang benderang.  The street was a. with lights Jalan itu terang benderang.
able,"ks. 1 dapat, bisa, sanggup, mampu. 2 cakap, trampil. 3 berwewenang.4 yang menunjukkan kecakapan."
ablution,"kb. pembersihan, pencucian. ritual a. wudu"
abnormal,"ks. 1 abnormal, aneh. a. behavior tingkahlaku yang tidak normal. a. psychology psikologi abnormal. 2 luar biasa, abnormal."
abnormality,kb. (j. -ties) 1 kelainan. a. of the thumb kelainan dari ibu jari. 2 ketidaknormalan.
aboard,"kk. 1 di (atas, dalam). 2 naik"
abode,kb. 1 tempat kediaman. This is my humble a. Inilah gubuk saya. 2  lih. ABIDE.
abolish,"kkt. menghapuskan, mengakhiri, meniadakan. to a. slavery menghapuskan perbudakan."
abolishment,kb. penghapusan. a. of secret organizations penghapusan dari organisasi rahasia.
abolition,"kb. penghapusan, pembasmian, abolisi. a. of slavery penghapusan dari perbudakan."
abolitionist,"kb. anggota gerakan penghapusan s.s.t., seorang yang ingin menghapuskan s.s.t."
abominable,"ks. buruk sekali (of food, style)."
abomination,kb.s.s.t.yang (sangat) dibenci. Exams are an a. Ujian adalah s.s.t. yang dibenci
aboriginal,"kb. orang asli. He's an a. Dia orang asli. --ks. asli, pribumi, a. inhabitant  penduduk asli."
aborigine,"kb. orang asli, orang pribumi (biasanya sangat bersahaja)."
abort,"kkt. menggagalkan, menggugurkan. kki. gagal, gugur."
abortion,"kb.1 (micarriage) pengguguran kandungan, keluron, abortus, keguguran.2. kegagalan."
abortionist,"kb.tukang menggugurkan kandungan aborteur, aborteuse."
abortive,"ks.gagal, seman. a. attempt percobaan yang gagal."
