c,kb. 1 huruf ketiga daripada abjad. 2 kunci musik. 3 nilai yang ketiga dari atas (dipakai di sekolah-sekolah dan universitas-universitas  di AS) 4 Sl.: $100. He paid 3 C's for that Dia membayar $300 untuk itu.
c c,(Consular Corps) Korps Konsuler.
c-in-c,(Commander-inChief) panglima tertinggi.
c.,1 (Cape) Tanjung.  2 (Catholic) Katholik. 3 (Centigrade) berskala 100 derajat. 4 (Center) Pusat. 5 (Chruch) Gereja. 6 (City) Kota. 7 (Conservative) Konserpatip. 8 (Carbon) Karbon.
c. e.,(Civil  Engineer) Insinyur Sipil.
c. of s.,(Chief of Staff) kepala staf.
c. z.,(Canal  Zone)  Daerah Terusan.
c.a.,(Central America) Amerika  Tengah.
c.a.p.,(Civil Air Patrol)  Patroli Udara Sipil.
"c.c., c.c.","(chasier's check) cek bank. 2 (chief clerk) kepala pembantu di toko, kepala juru tulis, kepala komis. 3 (consular clerk) pegawai konsuler.5 (cubic centimer) sentimeter kubik. 6 (centimeters)  sentimeter."
c.g.,1 (coast guard) Penjaga Pantai. 2 (consul (ate) general) Konsul (at) Jenderal. 3 (Commanding General) Jenderal Panglima.
c.i.a,(Central Intelligence Agency) Badan Intelijens Pusat AS.
c.o.d.,(Collect/Cash on Delivery) kiriman remburs. membayar waktu diantarkan.
"c.p.a.,  cpa",(Certified Public Accountant)  Akuntan  Umum  Berijazah.
c.s.a.,(Confederate States of America) Negara  Konfederasi  AS.
c.s.t.,(Central Standart Time) Waktu Tolok Sentral.
c/a,(Current Account)  rekening koran.
c/o,(in care of) d/p. d/a. c/o. Mr. J. Doe d/p Sdr J. Doe.
ca,(circa) kira-kira. ca 1950  kira-kira Tahun 1950.
caa,(Civil Aeronautics Administration) Direksi Penerbangan Sipil AS.
cab,(Civil Aeronautics Board) Dewan Penerbangan Sipil AS.
cabal,kb. komplotan rahasia.
cabana,kb. semacam tenda tempat bernaung pada permadani di pinggir laut.
cabaret,kb. kabaret.
cabbage,"kb. kubis, kol. c. patch petak tanah ditanam dengan kubis."
cabby,kb. (j. -bies) supir taksi.
cabin,kb. 1 pondok. 2 kamar (di kapal). c. on B deck kamar di dek. 3 Av.: ruang (dalam kapal terbang)
cabinet,kb. 1 lemari kaca. 2 kabinet. c. minister anggota kabinet.
cabinetmaker,kb. tukang lemari.
cabinetmaking.,kb. pembuatan perabot rumah.
cable,"kb. 1 kawat, kabel.. 2 tilgram, kawat. -kkt., kki. mengirim tilgram."
cablese,kb. singkatan kata-kata untuk mempersingkat isi tilgram
cabman,kb. (j. -men). supir taksi.
caboodle,"kb. Sl.: rombongan, kelompok. lih KIT."
caboose,kb. gerbong tukang rem.
cacao,kb. cokelat.  c. bean biji cokelat.
cache,kb. tempat menyembunyikan bahan makanan dan perlengkapan-perlengkapan. -kkt. menyembunyikan (food).
cachet,"kb. cap (lak, materai, dsb.)."
cackle,kb. kotek. -kki. 1 berkotek-kotek (of chickens). 2 ngobrol-ngobrol (of person)
cacophony,kb. (j. -nies) bunyi hiruk pikuk.
cactus,kb. (j. cactuses atau cacti) kaktus.
cacuminal,ks. kakuminal.
cad,kb. orang kurang ajar.
cadaster,kb. kadaster.
cadastral,ks. yang berhubungan dengan kadaster. c. survey  penyelidikan batas-batas tanah milik.
cadaver,"kb. bangkai, mayat."
cadaverous,"ks. pucat lesi/pasi. c. appearance seperti mayat , pucat pasi."
"caddie, caddy","kb. (j. -dies) kadi, karung permainan golf.  -kki. menjadi kadi."
cadence,kb. irama.
cadenza,kb. bagian penghabisan dari satu musik.
cadet,"kb. kadet, calon perwira. c. corps at West Point  korps kadet Akademi Militer AS."
cadmium,kb. kadmium.
cadre,kb. kader.
caduceus,kb. lambang kedokteran.
caecum,"kb. usus buta, bagian pertama dari usus besar."
