"e, e",kb. 1 huruf kelima abjad Inggris.  2 Mus.: nada  E.
e.g.,"[exempli gratia] misalnya, umpamanya."
each,"ks. (tiap-) tiap, setiap. -kg. masing-masing.  e. one tiap orang, masing-masing.  e. and everyone  tiap orang.  e. other 1 saling. 2 satu sama lain."
eager,"ks. ingin sekali, hasrat. to be e. to go ingin sekali pergi. Inf.: e beaver orang yang rajin sekali.  -eagerly kk. dengan tak sabar, dengan keinginan yang amat besar."
eagerness,"kb. hasrat, keinginan. e. to learn hasrat belajar."
eagle,"kb. 1 burung rajawali/elang, garuda. 2 Golf : jumlah pukulan kurang dua dari par. -eagles j. tanda pangkat kolonel tentara AS. eagle-eyed ks. bermata/berpenglihatan tajam."
ear,"kb. 1 telinga, kuping. Inf.: to be all ears mendengarkan dengan penuh perhatian, diam menelinga. 2 menyelenggarakan sesuatu tanpa persiapan atau petunjuk yang cukup.  e. specialist ahli penyakit telinga."
earache,kb. sakit telinga. I have on e. Saya sakit telinga
eardrum,kb. gendang pendengar.
earful,"kb. lebih dari cukup. 2 teguran, celaan. He got an e. Ia mendapat celaan."
earl,"kb. gelar kebangsawanan yang tinggi, pangeran."
early,"ks. (earlier, earliest) 1 lekas. 2 muda. 3 pagi-pagi. -kk. pagi-pagi. e. on dari/sejak  permulaan. early-warning radar radar pemberi peringatan pertama."
earmark,kb. ciri-ciri. the e. of a politician ciri-ciri seorang ahli polotik. -kkt. memperuntukkan. to e. funds for books memperuntukkan dana untuk buku-buku.
earmuff,kb. alat penutup telinga.
earn,"kkt. 1 mendapat bayaran/gaji. to e. a living mendapat penghasilan. 2 memperoleh.  -earnings kb., j. pendapatan, upah, penghasilan.  earning power daya pendapatan."
earnest,"kb. in e. bersungguh-sungguh.  -ks. sungguh-sungguh, tekun. e. money uang panjar/muka. -kk. dengan sungguh-sungguh, dengan betul-betul."
earphone,kb. alat pendengar.
earplug,kb. penyumbat telinga.
earring,"kb. anting-anting, subang."
earshot,kb. jarak pendengaran.  out of e. diluar pendengaran. within e. dalam jarak pendengaran.
earsplitting,ks. yang memekakkan telinga.
earth,"kb. 1 tanah. 2 dunia, bumi. 3 bumi. earth-circling ks. yang mengitari bumi. e. mover buldozer. earth-shaking ks. yang menggemparkan/menggegerkan."
earthbound,ks. terikat/terbatas pada bumi. Man is no longer e. Manusia tak lagi terikat pada bumi.
earthen,ks. terbuat dari tanah. e. bowl mangkuk dari tanah.
earthenware,"kb. barang tembikar, barang (dari) tanah."
earthly,ks. keduniawian. e. goods benda keduniawian. That's of no e. use Itu tak ada gunanya samasekali.
earthquake,"kb. gempa bumi, lindu."
earthward(s),kk. menuju kebumi.
earthworm,kb. cacing tanah.
earthy,"ks. 1 yang berbau tanah. an e. odor bau tanah. 2 biasa, sederhana, bersahaja. an e. person seorang yang biasa/sederhana."
earwax,kb. tahi telinga/kuping.
ease,"kb. kesenangan, ketentraman. -kkt. 1 mengurangi. 2 meredakan (the situation). 3 menurunkan/mendorong/mengerakkan pelan-pelan. 4 meringankan. -kki. 1 berkurang. 2 menyelinap. -easing kb. peringanan."
easel,kb. kuda-kuda.
easily,lih  EASY.
east,kb. timur. -ks. timur. e. wind angin timur. E. Coast Negara-negara bagian AS di pantai timur. E. Indian yang berhubungan dengan Hindia Timur.
easter,kb. paskah. E. Sunday hari minggu. Paskah. E. Island  Pulau Paskah.
easterly,ks. dari timur. e. wind angin dari timur.
eastern,ks. timur.  e. section of the state bagian timur dari negara bagian.
easterner,"kb. orang/bangsa timur, pribumi bagian timur. we easterners kita orang timur."
eastward,"kk. ke timur, ke arah timur."
easy,"ks. (easier, easiest)  1 mudah, gampang. 2 empuk. 3 (pe)murah. 4 enteng. -kk. 1 dengan gampang, dengan mudah. 2 Inf.: pelan-pelan. -easily kk. dengan mudah."
easygoing,"ks. gampang-gampangan, yang bersikap tenang, lembut hati. an e. person seorang yang tidak suka repot-repot."
eat,"kb. eats j. Sl.: makanan. -kkt. (ate, eaten) 1 makan. 2 merusak. -kki. 1 makan. 2 menggangu.  -eating kb. Fried rice is good e. Nasi goreng makanan  yang enak."
eatable,kb. eatables j. makanan. -ks. dapat dimakan. That cheese isn't e. Keju itu tak dapat dimakan.
eaten,lih  EAT.
eater,"kb. pemakan. light e. pemakan yang enteng, orang yang tidak banyak makan. good e. tukang makan."
eatery,"kb. (j. -ries)  Inf.: kedai makan, restoran."
eau de cologne,kb. minyak kelonyo.
eaves,"kb., j. lis/bagian atap."
eavesdrop,kki. (eavesdropped) mendengarkan sesuatu yang tak boleh didengarkan mendengarkan secara diam-diam.
eavesdropper,kb. seorang yang ikut mendengarkan rahasia-rahasia orang.
ebb,"kb. air surut.  -kki. 1 surut. The water ebbs at night Air surut di malam hari. 2 berkurang, mundur. His courage ebbed Keberaniannya berkurang."
ebony,kb. (j. -nies) kayu hitam.
ebullience,kb. semangat yang meluap-luap. He has youth's e. Dia bersemangat pemuda yang meluap-luap.
ebullient,ks. bersemangat meluap-luap.
