j,kb. huruf yang kesepuluh dari abjad Inggeris.
j.,1[journal] 1 majalah. 2 [justice] kehakiman.
j. p.,Justice of the Peace) hakim tingkat rendah di A.S.
j.a.g.,[Judge Advocate General] Ketua Kejaksaan Agung Militer.
j.d.,"[Doctor of Jurisprudence] Dokter Hukum. 2 [Juvenile Delinguent] crossboy, crossgirl."
j.v.,[junior varsity] kb. regu olahraga kelas rendah.
ja,[Judge Advocate] pengacara tentara.
ja.,ja.
jab,"kb. 1 tusukan (with needle, spear). 2 Box.: jotosan. -kkt. (jabbed) menusuk. to j. s.o's eye out menusuk mata seseorang keluar, mencukil mata seseorang."
jabber,"kb. ocehan, obrolan. -kki. mengecek, mengoceh, mengobrol."
jack,"kb. 1 Auto.: dongkerak. 2 Bridge : yoker. 3 Elec.: stop kontak. -jacks j. permainan simbang. -kkt. to j. up 1 mendongkerak (a car) 2 menaikkan (prices). 3 memperbaiki, meningkatkan. j. rabbit kelinci yang bertelinga dan berkaki belakang yang panjang."
jackal,"kb. serigala, jakal."
jackass,kb. 1 (mule) keledai jantan. 2 orang tolol.
jacket,kb. 1 jas. winter j. jaket musim dingin. 2 sampul (of books). 3 selubung. bed j. baju tempat tidur.
jackfruit,"kb. buah nangka, cempedak."
jackhammer,kb. alat pelobang karang atau beton dll.
jackknife,kb. pisau lipat yang besar. -kkt. berlipat. The trailer truck skidded and jackknifed Truck gandengan itu tergelincir dan berlipat.
jackladder,kb. tangga dari tali (pada kapal).
jackpot,"kb. pot perjudian, hadiah main kartu. to hit the j. memenangkan hadiah besar/pertama."
jackstraws,"kb. permainan anak-anak dengan sejumlah biji-biji permainan yang ditaruh tak beraturan, kemudian dipungut satu persatu tanpa menyentuh yang lain."
jacob,kb. Yakub. J.'s ladder = JACKLADDER.
jade,"kb. permata jade, batu nefrit/lumut."
jaded,"ks. letih, sayu, lesu, payah. j. look pandangan yang lesu."
jag,"kb. 1 Sl.: perasaan, keinginan, kesibukan, kesukaan. crying j. suka menangis. 2 Sl.: pesta mabuk-mabukan."
jagged,"ks. bergerigi, berigi-rigi. j. edge of a piece of wood pinggir sepotong kayu yang bergerigi."
jaguar,kb. semacam macan tutul di A.S.
jail,"kb. penjara, bui. to break j. meloloskan diri dari penjara. -kkt. memenjarakan."
jailbird,"kb. penghuni penjara, orang hukuman."
jailbreak,kb. pembongkaran/penjebolan penjara.
jailer,kb. sipir (penjara).
jake,ks. Sl.: baik. Everything is j. at our end Semuanya baik saja pada pihak kami.
jalopy,kb. (j. -pies) Inf.: mobil tua.
