"m, m",kb. huruf ketigabelas dari abjad Inggris.
m.,"1 [male, masculine] maskulin, jantan. 2 [meter(s)] meter.  3  [minute (s)] menit. 4 [mile(s)] mil"
m.a.,[Master of Arts] Sarjana (gelar yang diberikan oleh universitas kepada seseorang yang sudah selesai belajar tingkatan universitas lanjutan.
m.c.,[Master of Ceremonies) kb. pemimpin upacara.
m.p.h.,[miles per hour] mil per jam.
m.s.,1 [Master of Science] Sajana. 2 [Motor Ship] Kpal (Ber) motor.
m.v.,[motor vessel] kapal motor.
m/sgt,[Master Sergeant] Sersan Kepala.
ma,kb. bu.
ma'am,"kb. Inf.: bu, nyonya."
mac,"kb. Sl.: bang, bung (kata panggilan)."
macabre,"ks. mengerikan, menakutkan."
macadam,kb. jalan aspal.
macaroni,kb. makaroni.
mace,kb. 1 (spice) bunga pala. 2 tongkat kebesaran.
machination,"kb. akal bulus, intrik, kasak-kusuk."
machine,"kb. 1 mesin. 2 mobil. 3 organisasi. the m. age abad mesin. m. gun senapan mesin.  machine-made ks. dibuat dengan mesin, jahitan mesin."
machinery,"kb. (j. -ries) 1 mesin, mesin-mesin. 2 perlengkapan (for an election)."
machinist,"kb. masinis, ahli mesin."
mackerel,kb. sejenis ikan air tawar.
macrocosm,"kb. makrokosma, alam semesta."
macron,kb. garis makron.
mad,"ks.  1 marah.  2 gemar sekali. 3 gila.4 edan. -madly kk. sangat, mabuk. m. in love  mabuk cinta."
madam,kb. nyonya. M. chairman Nyonya/ ibu ketua.
madcap,"ks. yang bukan-bukan, gila."
madden,kkt. memarahkan. -maddening ks. menjengkelkan.
made,lih  MAKE.
madhouse,kb. rumah gila. It's like a m. Tempat ini jadi gaduh dan membingungkan sekali.
madman,"kb. (j, -men) orang gila."
madness,kb. 1 kegilaan. 2 penyakit gila.
maestro,kb. 1 pemimpin orkes simfoni. 2 ahli musik.
maewest,kb. baju pelampung.
magazine,kb. 1 majalah. 2 (powder) gudang senjata. 3 tempat peluru/pelor/mesiu
maggot,"kb. tempayak, belatung, ber(e)nga."
magic,"kb. 1 sihir. 2 main su(ng)lap. 3 gaya tarik. -ks. gaib. m. power kekuatan gaib, daya sihir. m. eye  = ELECTRIC EYE."
magical,ks. gaib. m. powers tenaga-tenaga gaib.
magician,kb. tukang sihir/sulap.
magistrate,kb. hakim.
magnanimity,"kb. (j. -ties) keluhuran budi, kemurahan hati."
magnanimous,ks. murah hati.
magnate,"kb. tokoh terkemuka, jago. steel m. tokoh terkemuka dalam perusahaan baja."
magnet,"kb. 1 maknit, besi/batu berani. 2 daya penarik."
magnetic,ks. 1 maknit. m. compass kompas maknit. 2 amat menarik. m. personality kepribadian yang amat menarik. m. field medan gaya. m. tape pita perekam suara.
