n,"1 [North] Utara. 2 [nitrogen] nitrogen, zat lemas."
"n, n",kb. huruf yang keempat belas dari abjad Inggeris.
n.,"1 [neuter] netral. 2 [nominative] nominatip. 3 [north(ern)] (sebelah) utara. 4 [noun] katabenda. 5 [number] nomor, kata bilangan. 6 [new] baru. 7 [note] catatan. 8 [normal] normal."
n.c.,[North Carolina] nagarabagian A.S.
n.c.o.,[non commissioned officer] bintara.
n.d.,[no date] tak bertanggal.
n.e.,[northeast] timur laut.
n.e.i.,[Netherlands East Indies] Hindia Timur Belanda.
n.f.,[Newfoundland] nama pulau dekat pantai timur Kanada.
n.g.,[no good] kb. tidak becus.
n.h.,[New Hampshire] negarabagian A.S.
n.j.,[New Jersey] negarabagian A.S.
n.m(ex).,[New Mexico] negarabagian A.S.
n.r.o.t.c.,[Naval Reserve Officer Training Corps]  Korp/Kesatuan Latihan Cadangan Angkatan Laut.
n.s.,[Nova Scotia] nama propinsi di Kanada Selatan.
n.y.,[New York] 1 Negarabagian A.S. 2  Kota New York.
n.y.c.,[New York City] Kota New York.
n.z.,[New Zealand] Selandia Baru.
nab,kkt. Sl.: (nabbed) menangkap (basah).
nadir,"kb. titik  terendah, nadir."
nag,"kb. kuda tua. -kkt. (nagged) mengomeli, membengkengi. -kki. mengomel (at pada)."
nail,"kb. 1 paku. to hit the n. on the head tepat. to pay on the n. membayar kontan. 2 Anat.: kuku.  n. clippers gunting kuku. -kkt. 1 memaku. 2 mengajak. to n. down memakukan. to n. up 1 memakukan tutup (a box). 2 memasang (a picture, diploma)."
naive,"ks. naif, tak dibuat-buat."
naivete,kb. kenaifan.
naked,ks. 1 telanjang (of body). n. to the waist separuh telanjang. 2 yang sebenarnya (of truth). 3 terhunus (of sword). n. eye mata biasa.
nakedness,"kb. ketelanjangan, keadaan telanjang."
namby-pamby,ks. (berlaku) lemah.
name,"kb. 1 nama. first n. nama sebutan/kecil. 2 tokoh. 3 reputasi.4 istilah, sebutan. -kkt. 1 memberi nama (pada), menamai. 2 menyebut(kan). 3 mengatakan. -name-calling kb. saling mengata-ngatai."
nameless,ks. tak dikenal. n. grave kuburan tanpa nama. a lady who shall remain n. seorang wanita yang tak mau disebut namanya.
namely,"kk. yaitu, yakni."
nameplate,kb. papan/pelat nama.
namesake,kb. senama (of dengan).
nanny,kb. (j. -nies). n. goat kambing betina.
nap,kb. 1 tidur sebentar (di siang hari). 2 bulu-bulu halus dan pendek pada permukaan kain. -kki. (napped) tidur sebentar. to catch s.o. napping menangkap seseorang selagi ia lengah.
napalm,kb. 1 bahan kimia untuk membuat bensin kental. 2 Mil.: bensin kental untuk bom pembakar.
nape,"kb. kuduk, tengkuk."
naphtha,kb. nafta.
napkin,kb. serbet (dari kain/kertas).
narcissism,kb. kecintaan pada diri sendiri.
narcissus,kb. semacam bunga bakung.
narcosis,"kb. pembiusan, narkosis."
narcotic,"kb. bahan-bahan pembina, obat bius. n. addict seorang yang ketagihan obat bius."
narrate,kkt. menceritakan.
narration,"kb. 1 penceritaan, pengisahan. 2 cerita, kisah."
narrative,kb. cerita. n. style gaya cerita.
narrator,kb. 1 pembawa cerita. 2 orang yang bercerita.
narrow,"kb. narrows j. bagian sempit (dari sungai, selat). -ks. 1 sempit (of a road, path, house, room). 2 terbatas. 3 seksama. 4 tipis. -kkt. 1 membatasi (a subject, time). 2 memperkecil (the number of s.t.). -kki. menyempit (of a road). -narrowly kk. nyaris."
nasa,[National Aeronautics and Space Administration] kb. Biro Penerbangan dan  Ruang Angkasa Nasional.
nasal,kb. bunyi sengau. -ks. 1 sengau. His voice has a n. twang Ia bersuara sengau. 2 yang berhubungan dengan hidung. n. cavity rongga hidung.
nasalization,kb. persengauan.
nascent,ks. mulai timbul/lahir.
nastiness,"kb. 1 kemesuman (of o's mind). 2 keburukan, kejahatan."
nasty,ks. 1 buruk (of weather). 2 sangat tidak menyenangkan (of a situation). 3 mesum (of a thought). 4 keji (of remark). 5 yang menjijikkan (of medicine). 6 kotor (of a room). 7 parah.
nat.,1 [national] nasional. 2 [natural] alamiah.
natal,ks. yang berhubungan dengan kelahiran. n. home tempat kelahiran.
natch,kk. Sl.: tentu saja.
nation,kb. bangsa. nation-state negara berbangsa tunggal.
national,kb. warganegara. -ks. 1 nasional. n. debt hutang nasional. 2 kebangsaan. n. anthem lagu kebangsaan. -nationally kk. mengenai seluruh negara.
nationalism,kb. nasionalisme.
nationalist,kb. seorang nasionalis. -ks. nasionalis. the n. party partai nasional (is). N. China Tiongkok/Cina Kuomintang.
nationalistic,ks. kebangsaan.
nationality,kb. (j. -ties) kebangsaan.
nationalization,kb. nasionalisasi.
nationalize,kkt. menasionalisasikan.
nationhood,kb. kedudukan sebagai negara merdeka.
nationwide,"ks. nasional, untuk seluruh negara."
native,"kb. penduduk asli, orang pribumi.  -the natives j. orang-orang pribumi, penduduk asli. -ks. 1 asli. 2 asli, ibu.  3 alam (iyah). 4 asal. 5 (pem) bawaan dari lahir. to go n. hidup sebagai penduduk asli. native-born ks. kelahiran asli."
nativity,kb. (j. -ties) the N. Kelahiran Kristus.
natl.,"[national] nasional, kebangsaan."
"nato, n.a.t.o",[North Atlantic Treaty Organization] Organisasi Pertahanan Atlantik Utara.
natty,"ks. rapi. -nattily kk. dengan rapi, necis. n. dressed berdandan rapi."
natural,"kb. kelaziman, kebiasaan. -ks. 1 alam. 2 alamiah. 3 dasar. 4 wajar (death, right). n. manner tingkah laku yang tidak dibuat-buat. natural-born ks. dilahirkan dengan bakat. -naturally kk. 1 tentu saja. 2 asli. n. curly lahir keriting rambut yang asli."
