o,"kseru. he, hai, wahai."
o'clock,"jam, pukul. at 7 o. pukul tujuh."
o'er,#NAME?
"o, o",kb. 1 huruf kelimabelas dari abjad Inggeris. 2 nol.
o.,"1 [Ohio] negarabagian A.S. 2 [Ocean] Lautan, Samudra. 3 [Ontario] propinsi di Kanada Selatan."
o.k.,"kb. Inf.: persetujuan, kebenaran. to put o's O.K. on s.t. memberi acece kepada sesuatu. -ks. It's O.K. with me Saya setuju. Saya tak apa-apa. -kkt. menyetujui, meng-oke-kan. -kseru. baiklah, oke, jadi."
o.t.,"[Old Testament] Perjanjian Lama, Taurat."
oak,kb. (pohon) ek.
oaken,ks. dibuat dari kayu ek.
oar,"kb. dayung, kayuh. to put o's o. in mencampuri urusan orang lain."
oarsman,"kb. (j. -men) pendayung, pengayuh, tukang satang."
oas,[Organization of American State] Organisasi Negara-Negara Amerika.
oasis,kb. (j. -ses) 1 Geog.: wahah. 2 sumber ketenangan.
oat,"kb. sejenis gandum. Inf.: to feel o's oats mulai bersemangant. to sow o's (wild) oats berfoya-foya, main ugal-ugalan."
oath,"kb. 1 sumpah. to take an o. bersumpah, mengangkat sumpah. 2 kata umpatan (curse)."
oatmeal,kb. 1 makanan gandum. 2  bubur gandum.
obdurate,"ks. keras kepala, bandel."
obedience,"kb. kepatuhan, ketaatan."
obedient,"ks. patuh, taat, penurut. to be o. to s.o. patuh kepada seseorang."
obeisance,"kb. hormat (dengan membungkukkan badan, sembah. to make/pay o. to s.o. menyembah kepada seseorang."
obelisk,kb. tugu.
obese,"ks. gemuk sekali, gendut."
obesity,"kb. kegemukan, kegendutan."
obey,"kkt. mematuhi, mentaati, menurutkan. to o. the instructions taat kepada perintah itu. -kki. penuh, taat."
obituary,kb. (j. -ries) berita kamatian.
obj.,[object] 1 obyek. 2 barang.
object,"kb. 1 benda, obyek, barang. 2 sasaran, tujuan. 3 maksud (of a conversation). 4 Gram.: pelengkap. -kki. menolak, keberatan."
objection,kb. keberatan. Do you have any o. ? Apa saudara berkeberatan ?
objectionable,ks. tidak dapat disetujui. an o. person seorang yang tidak nmenyenangkan. He uses o. language Tata-bahasanya kasar.
objective,"kb. tujuan, sasaran. -ks. obyektif, tidak berat-sebelah. -objectively kk. secara obyektif."
objectivity,kb. keobyektifan.
objector,kb. seorang yang menolak. lih  CONSCIENTIOUS.
obligate,"kkt. wajib, harus. He is obligated to help Dia berkewajiban membantu."
obligation,kb. kewajiban. You are under no o. Saudara tak ada kewajiban apa-apa.
obligatory,ks. wajib. o. attendance kehadiran wajib.
oblige,"kkt. 1 mengharuskan. 2 membantu. -kki. membantu, melayani. -obliging ks. bersedia membantu,  menurut."
oblique,"ks. 1 miring, mencong. o. angle sudut miring. 2 tak langsung."
obliterate,"kkt. menghapuskan, melenyapkan."
obliteration,"kb. kehilangan, kemusnahan."
oblivion,kb.  pelupaan. to sink into o. dilupakan.
oblivious,ks. terlupa. o. to o's surroundings terlupa akan sekitarnya.
oblong,ks. bujur.
obnoxious,"ks. menjengkelkan, buruk, menjijikkan."
oboe,kb. obo (semacam suling).
obscene,"ks. cabul, carut. o. literature pembacaan cabul."
obscenity,"kb. (j. -ties) kecabulan, kecarutan."
obscure,"ks. 1 tak jelas (of plans, style). 2 tak dikenal (of birth, family). -kkt. 1 menggelapkan (o's view). 2 mengaburkan (the meaning)."
obscurity,kb. (j. -ties) 1 ketidak-jelasan (of a passage). 2 keadaan tidak dikenal. to go into o. menjadi tak dikenal.
obsequies,"kb. j. (upacara) pemakaman, penguburan."
observable,"ks. kelihatan, tampak."
observance,kb. 1 ketaatan (of the law). 2 ibadat (of Lent).
observant,"ks. 1 suka memperhatikan. 2 taat, setia."
observation,"kb. 1 pengamatan, observasi. 2 pandangan. 3 pengawasan. o. station tempat peninjauan/pemandangan."
observatory,kb. (j. ries) observatorium.
observe,kkt.  1 mengamati (a patient). 2 melihat. 3 meninjau (a class). 4 menjalankan (Lent). 5 mematuhi. 6  memperhatikan. 7 menghormat.
observer,"kb. 1 peninjau. 2 pemerhati, orang yang memperhatikan. 3 pengamat."
obsess,"kkt. 1 menghantui, menggoda (pikiran).  2 memasuki (of a spirit)."
obsession,"kb. 1 godaan, gangguan pikiran, obsesi. 2 kesurupan/kemasukan setan."
obsolescence,"kb. keusangan, kekunoan."
obsolescent,"ks. usang, sudah tidak terpakai lagi."
obsolete,"ks. usang, tidak terpakai, kuno."
obstacle,"kb. rintangan, halangan, penghambat. to put obstacles in s.o.'s way memasang/menempatkan rintangan di jalan seseorang."
obstetrician,"kb. dokter perbidanan/melahirkan, dokter dalam ilmu kebidanan."
obstetrics,kb. ilmu kebidanan.
obstinacy,"kb. (j. -cies) ketegaran, sifat membandel, sifat keras kepala."
obstinate,"ks. keras kepala, tegal, kepala batu, bandel, menekat. 2 terus-menerus (of a cold)."
obstreperous,"ks. ribut, bising."
obstruct,"kkt. menghalangi, merintangi (a view, a street,  traffic)."
obstruction,"kb. 1 halangan. 2 gangguan. o. of the bowels  sembelit, kesukaran membuang air besar, kesukaran berberak."
obtain,"kkt. 1 mendapat(kan), memperoleh.  2  menghasilkan. -kki. berlaku."
obtainable,ks. dapat diperoleh/dibeli. Are tomatoes o. at this time ? Apakah ada tomat pada waktu ini ?
