r,"kb. huruf kedelapan belas dari abjad Inggris.  the three R's pelajaran-pelajaran  membaca, menulis dan berhitung."
r.,1 [right] kanan. 2 [river] sungai.
r.,1 [right] kanan. 2 [river] sungai.
r.a.,[Rear Admiral] Laksamana Muda.
"r.c., rc","1 [Roman Catholic] Rum Katolik, katolik Roma. 2 [Red Cross] Palang Merah."
r.d.,[Rural Delivery] Pos Pedesaan/Dusun.
r.f.d.,kb. [Rural Free Delivery] antaran pos cuma-cuma luar kota.
r.i.,[Rhode Island] negara bagian di A.S.
r.n.,[registered nurse] jururawat berijazah.
r.p.m.,[revolution per minute] putaran dalam semenit.
r.r.,[Railroad] Perusahaan Kereta Api.
r.s.v.p.,[Repondez s'il vous plait] Fr.: Harap dijawab.
rabbi,kb. pendeta Yahudi.
rabbit,"kb. kelinci. r. food selada, sayur- sayuran mentah. rabbit's foot kaki kelinci (jimat)."
rabble,"kb. rakyat jelata, orang-orang jembel. rabble-raouser kb. pengacau, perusuh, peribut."
rabid,ks. 1 fanatik. r. integrationist pejuang pemersatu yang fanatik. 2 gila (of a dog). He was r. with anger Ia betul-betul marah.
rabies,"kb. penyakit anjing gila, gila anjing."
raccoon,kb. binatang serupa kucing.
race,"kb. 1 ras, bangsa. 2 perlombaan. 3 (horse) pacuan (kuda). 4 arena, pertarungan, perlombaan (politik). -kkt. 1 menjalankan  cepat-cepat (engine). 2 berlomba dengan, membalap, mengebut. 3 memperlombakan (a horse). -racing kb. balapan."
racer,"kb. pembalap, pengebut (oto, sepeda, kuda)."
racial,ks. rasial. r. discrimination diskriminasi rasial. r. minoritas suku-suku bangsa golongan kecil.
racialism,kb. rasialisme.
racism,kb. rasisme.
racist,kb. orang yang membenci suku bangsa lain.
rack,"kb. rak, para-para. luggage r. rak tempat barang. -kkt. menyiksa, menyakiti. She was racked with pain Ia tersiksa oleh rasa sakit."
racket,"kb. 1 Tenn.: raket. 2 keributan, kegaduhan. 3 lapangan. 4 Inf.: usaha penipuan/pemerasan."
racketeer,kb. Inf.: pemeras.
racy,ks. 1 agak cabul. r. story cerita yang agak cabul. 2 bersih dan rapi (style).
radar,kb. radar. r. beacon menara radar. r. operator juru radar. r. screen layar radar.
radial,ks. yang berkaitan dengan jari-jari lingkaran. r. arrangement susunan seperti jari-jari lingkaran. r. artery urat-urat darah seperti lingkaran dibawah siku.
radiance,"kb. sinar, cahaya."
radiant,ks. 1 berseri-seri (of a woman). 2 bersinar-sinar. r. heat panas pancaran.
radiate,"kkt. memancarkan (happiness). -kki. 1 bersinar (of the sun). 2 menyebar. Road r. from the town Jalan-jalan menyebar dari kota itu. 3 memancar, terpancar. Goodwill radioates from every side Kemauan baik terpancar dari segala pihak."
radiation,"kb. radiasi, pemancaran, penyinaran. nuclear r. radiasi nuklir. r. sidness sakit kena radiasi."
radiator,kb. radiator. r. cap tutup radiator. r. hose pipa radiator.
radical,"kb. 1 seorang radikal. 2 Math., Chin.: akar. -ks. 1 radikal. 2 sampai ke akar-akarnya. -radically kk. sama sekali."
radio,kb. radio. on the r. di radio. r. beacon menara radio. -kkt. meradiokan.
radioactive,ks. radioaktip. r. fallout debut radioaktip.
radioactivity,"kb. keradioaktipan, radioaktivitas."
radiocarbon,kb. isotop karbon yang radioaktip dengan berat 14 (=carbon 14).
radiogram,kb. radiogram.
radioisotope,kb. isotop radio.
radiologist,"kb. radiolog, ahli pengobatan sinar."
radiology,"kb. ilmu sinar, radiologi."
radioman,kb. (j. -men) pegawai pemancar radio.
radiophoto,kb. radiofoto.
radiotelephone,kb. telepon radio.
radiotherapy,"kb. radioterapi, pengobatan dengan sinar."
radish,"kb. rades, lobak."
radium,kb. radium.
radius,kb. 1 jari-jari (lingkaran). radius. 2 Anat.: tulang lengan.
raffle,"kb. penjualan dengan undian. -kkt. mengundi, lomba menghabiskan. to r. off a turkey mengadaklan pengundian seekor kalkun."
raft,kb. rakit.
rafter,"kb. kasau, kasok."
rag,kb. 1 (kain) lap (for cleaning). 2 kain buruk. -kkt. (ragged) Sl.: menggoda. r. doll boneka-boneka dari potongan-potongan kain.
ragamuffin,kb. 1 anak yang tak terpelihara. 2 orang jahat.
rage,"kb. 1 kemarahan, kegusaran. 2 kegemaran. -kki. 1 mengamuk. 2 marah-marah. -raging ks. 1 yang mengamuk.  2 hebat, tinggi."
ragged,"ks. 1 kasar, tidak rata, gerigis. r. edge of a can top pinggiran yang kasar dari tutup kaleng. 2 yang berpakaian compang-camping (of a child). 3 (imperfect) acak-acakan, tidak teratur. Our child runs us r. Anak kami meletihkan kami."
ragman,kb. (j. -men) pengumpul kain tua.
ragout,kb. daging cincang yang banyak bumbunya.
ragweed,kb. semacam rumput-rumputan.
rah,"kseru, ayuh, hure."
raid,"kb. 1 geropyokan, razzia, penggerebekan, pembersihan (on a club). 2 serangan. -kkt. penggeropyokan (of a club). 2 perampasan (of foculty by another university)."
raider,"kb. penjarah, perompak."
rail,"kb. (kereta api). to go by r. naik kereta api. 2 jeruji (of a fence). -kkt. memagari (a yard). -kki. to r. at mencerca, menista, mencemooh. -railing kb. susur(an) tangga."
railroad,kb. 1 jalan kereta api. r. crossing persimpangan jalan kereta api. 2 perusahaan kereta api. -kkt. menyelesaikan dengan cepat.
railroadman,kb. (j. -men) 1 pegawai  kereta api. 2 pemilik kereta api.
railway,kb. jalan kereta api. r. express nama perusahaan angkutan cepat di A.S.  r. system perkereta-apian. r. yard halaman tempat gerbong kereta api.
raiment,kb. pakaian.
rain,kb. hujan. r. cloud awan hujan. -the rains j. musim hujan. -kkt. menghujani (ticker tape). -kki. 1 hujan turun.  2 menghujan.
rainbarrel,kb. tong penampung air hujan.
rainbow,"kb. pelangi, bianglala."
raincoat,kb. jas hujan.
raindrop,kb. tetesan/rintik hujan.
rainfall,kb. curah(an) hujan.
rainproof,"ks. tahan hujan, tak tembus hujan."
rainstorm,kb. badai hujan.
rainwear,kb. pakaian hujan.
rainy,ks. banyak hujan. r. season musim hujan.
raise,"kb. kenaikan (gaji, upah). -kkt. 1 mengangkat (a window, o's hand). 2 menaikkan (the price, flag, s.o's rank). 3 memelihara (animals, fowl). 4 membesarkan (a child). 5 mendapatkan, mengumpulkan. 6 mendirikan (a monument). 7 menghidupkan (the dead)."
raised,"ks. ditinggikan, tinggi letaknya. r. porch serambi/beranda yang tinggi letaknya."
raiser,"kb. penanam, pemelihara. cattle r. peternak sapi."
raisin,kb. kismis.
rake,"kb.  1 (tool) penggaruk. 2 bandot. -kkt. 1 menggaruk (leaves). 2 memberondong/membabat/menyapu (the enemy). -raking kb. menggaruk, penggarukan."
rakish,ks. gagah. to wear o's hat at a r. angle memakai topinya miring dengan gagahnya.
rallied,lih  RALLY.
rallies,lih  RALLY.
rally,"kb. (j. -lies) 1 rapat umum. 2 Tenn.: permainan dengan pukulan yang bertubi-tubi/pukulan kembali-mengembalikan. -kkt. (rallied) mengumpulkan, mengerahkan. -kki. 1 bersatu, berkumpul. rallying point tempat berkumpul."
ram,"kb. 1 (sheep) biri-biri jantan. 2 (battering) alat pelantak. -kkt. (rammed) membenturkan (a barge, car)"
ramadan,"kb. Ramadan, Puasa."
ramble,"kb. pelancongan, pengembaraan. -kki. 1 berkeliling-keliling. 2 berbicara tak teratur. -rambling ks. melantur-lantur, bertele-tele."
