s,[South] Selatan. 2 [Southern] sebelah Selatan].
"s, s",kb. huruf kesembilanbelas dari abjad Inggris.
s.,1 [series] seri. 2 [shiling(s)] shiling. 3 [singular] tunggal. 4 [substantive] kata benda. 5 [second] detik.
s. am.,[South America] Amerika Selatan.
s.a.,1[South Africa] Afrika Selatan. 2 [South America] Amerika Selatan. 3 [sex appeal] daya tarik seks/ kelamin.
s.c.,1[South Carolina] negarabagian A.S. 2 [Signal Corps] Korps Komunikasi. 3 [Supreme Court] Mahkamah Agung.
s.d.,1 [South Dakota] negara bagian AS. 2 [Doctor of Science]  doktor ilmu pengetahuan.
s.dak,[South Dakota] negaarabagian AS.
s.doc.,[Senate Document]  Dokumen Senat (AS).
s.j.d.,[Doctor of Furidical Science] Doktor Ilmu Hukum.
s.o.b.,kb. Vulg.: bajingan.
s.p.,[Shore Patrol] Polisi Militer AL.
s.p.c.a.,[Society for the Prevention of Cruelty to Animals] Himpunan Penyayang Binatang.
s.r.o.,[standing room only] tempat untuk berdiri (saja).
s.res.,[Senat Resolution]  Resolusi Senat.
s.s.,1 [Steamship] Kapal  Api. 2 [Straits Settlements] Semenanjung Malaka.
s/s,[steamship]  kapal api.
s/sgt,[Staff Sergeant] Sersan Kepala/Staf.
sabbath,kb. (hari Sabat. to keep the S. mentaati hari istirahat.
sabbatical,"kb. cuti panjang atau besar untuk istirahat, studi atau bepergian. s. leave/year cuti panjang."
saber,"kb. pedang, mandau. s. rattling pameran kekuatan senjata, ancaman menyerang."
sable,kb. 1 semacam musang kecil. 2 kulit berbulu dari musang kecil.
sabotage,"kb. sabotage, sabot. -kkt. menyabot, menyabotir, merusakkan."
saboteur,kb. penyabot.
sac,"kb. kantong, pundi-pundi."
saccharine(e),"kb. sakharin, sakarin. -ks. manis sekali."
sachet,kb. 1 bedak wangi. 2 pundi-pundi bedak.
sack,"kb. karung, goni. s. of flour karung tepung.  -sacking kb. 1 kain karung. 2 perampokan, penggarongan ( of a town)."
sackcloth,kb. kain karung. in s. and ashes tobat.
sackful,kb. sekarung penuh.
sacrament,kb. sakramen. to receive the s. menerima sakramen (pengampunan misalnya).
sacramental,ks. menurut sakramen.
sacred,"ks. keramat, suci, kudus, muhar(r)-am. s. ground tanah suci."
sacrifice,kb. 1 pengorbanan (of o's freedom). 2 korban (on the altar). -kkt. 1 mengorabnkan (o's health). 2 menjadi korban (an animal). -kki. berkorban.
sacrificial,ks. berkorban. s. rites upacara-upacara  (ber)korban.
sacrilege,kb. pelanggaran terhadap hal-hal yang dianggap keramat.
sacrilegious,"ks. yang melanggar kesucian, a-susila."
sacroiliac,kb. penyambungan tulang  kelangkang dan tulang usus.
sacrosanct,ks. amat suci/keramat.
sad,"ks. (sadder, saddest) 1 sedih. 2 emnyedihkan."
sadden,"kkt. menyedihkan, membuat sedih."
saddle,"kb. 1 pelana (on a horse). s. horse kuda tunggangan. 2 tempat duduk, sadel (on bicyle). -kkt. 1 memasang pelana, memelanai (a horse). 2 membebani, memberati."
sadism,"kb. sadisme, keinginan yang abnormal untuk berbuat kejam."
sadist,kb. sadis.
sadistic,"ks. sadistis, amat kejam/mengerikan."
sadly,kk. amat sayang. He is  s. mistaken Ia keliru sekali.
sadness,"kb. kesedihan, kepiluan, kesayuan."
safari,kb. ekspedisi berburu.
safe,"kb. peti besi.  -ks. 1 aman. 2 tidak berbahaya. 3 selamat. 4  hati-hati (of a driver). 5 kuat, dapat dipercaya (of a bridge). 6 tepat.  -safely kk. dengan selamat/aman."
safecracker,kb. pembongkaran peti besi.
safecracking,kb. pembongkaran peti besi.
safeguard,"kb. 1 usaha perlindungan (against terhadap). 2 usaha penjagaan. -kkt. melindungi, menjaga (o's health, valuables)."
safekeeping,kb. penyimpanan yang aman.  for s. untuk diamankan.
safety,kb. (j. -ties) 1 keselamatan (of o's health). 2 keamanan (of an area).
saffron,kb. semacam kunyit. -ks. kuning-jingga.
sag,"kb. kelonggaran (in a dress, coat). -kki. (sagged) 1 melentur, melengkung, melendut (of a floor). 2 terkulai (of clothing). 3 berkedut (of cheeks, breasts). 4 berkurang, turun, menurun (of sales). 5 mengendor (of a rope)."
saga,kb. 1 hikayat. Icelandic s. hikayat Islandia. 2 kisah. His biography is a s. of courage Biografinya merupakan kisah keberanian.
sagacious,"ks. bijaksana, cerdas, cerdik."
sagacity,"kb. kecerdasan, kecerdikan, kebijaksanaan."
sage,"kb. 1 (plant) sejenis tumbuhan yang daunnya harum dan dipergunakan sebagai bumbu-bumbu. 2 orang bijaksana, guru. -ks. bijaksana. s. advice nasihat yang bijaksana."
sagging,"kb. pelenturan, pelengkungan (of a floor, roof). ks. 1 merosot, menurun. s. economy keadaan ekonomi yang merosot. 2 yang menggantung (of roof, breasts)."
saggy,"ks. longgar, kendor, kedodoran (of trousers)."
sago,kb. sagu.
said,lih   SAY.
sail,"kb. 1 layar. main s. layar utama. 2 pelayaran. -kkt. 1 melayarkan (a boat). 2 mengarungi (the sea). -kki. 1 berlayar. 2 melayang. 3 berangkat. -sailing kb. berlayar, naik perahu layar."
sailboat,kb. perahu layar.
sailfish,kb. sejenis ikan gergaji.
sailor,"kb. pelaut, kelasi, anak kapal. She's a good s. Dia tidak mabuk laut. Sailors' Home Rumah Pelaut."
saint,kb. orang yang suci.
saintliness,"kb. kesucian, kedewaan."
saintly,"ks. saleh, suci."
sake,kb. for the s. of 1 demi. 2  untuk kepentingan.
salable,"ks. dapat/mudah dijual, laku."
salacious,ks. 1 cabul. 2 gasang.
salad,"kb.  selada, sayur-mayur dimakan sebagai lalap. s. bowl mangkok/kom/wadah/tempat sayuran."
salamander,kb. sejenis kadal.
salami,kb. semacam sosis.
salaried,"ks. bergaji, menerima gaji."
salary,kb. (j. -ries) gaji.
sale,kb. 1 penjualan. 2 obral. to go to a s. pergi ke obral. -sales j. jumlah penjualan.
saleable,#NAME?
salesclerk,"kb. pelayan toko, pramuniaga(wan)."
salesgirl,"kb. gadis pelayan toko, pramuniaga(wati)."
saleslady,"kb. (j. -dies) wanita pelayan toko, pramuniaga(wati)."
salesman,"kb. (j. -men) penjual barang-barang, pedagang."
salesmanship,"kb. kepandaian berjualan, keahlian berdagang."
salespeople,"kb., j. 1 orang-orang pelayan toko. 2 orang-orang pedagang."
salesperson,kb. 1 pelayan toko. 2 orang pedagang.
salesroom,kb. ruangan penjualan.
saleswoman,kb. (j. -women) wanita pelayan toko.
salient,"ks. yang menonjol/penting, yang menyolok mata."
saline,ks. yang berkaitan dengan garam. s. solution larutan garam.
salinity,"kb. kadar garam, salinitas."
salisbury,"kb. S. steak daging sapi dicencang sebelum masak, dibentuk menjadi semacam pergedel, biasanya diberi kuah."
saliva,"kb. air liur, (air) ludah."
salivary,ks. yang berkaitan dengan air liur. s. gland kelenjar ludah.
salivate,kki. mengeluarkan air liur/ludah.
salk,kb. S.vaccine vaksin pencegah polio.
sallow,"ks. 1 pucat, pudar. 2 kekuning-kuningan."
sally,"kb. (j. -ies) 1 Mil.: serangan tiba-tiba. 2 kelakar, gurau. -kki. (sallied) pergi keluar."
salmon,kb. ikan salem. -ks. merah-muda kekuning-kuningan.
salon,salon
saloon,kb. warung minum (minuman keras). passenger s. ruang umum untuk para penumpang (di kapal).
salt,"kb. 1 garam. s. water air garam. 2 Inf.: pelaut, kelasi (yang berpengalaman). -kkt. 1 menggarami (food). 2 memberi garam (streets).  salt-water ks. asin, laut.  -salted ks. diasin, asin. s. peanuts kacang asin."
saltcellar,kb. tempat garam.
saltpeter,kb. sendawa.
saltshaker,kb. tempat garam.
saltworks,"kb. paberik garam, pegaraman."
salty,ks. 1 asin (to the taste). 2 lucu dan tidak sopan (remark).
salubrious,"ks. menyehatkan, menyegarkan. s. effect on pengaruh yang menyegarkan bagi."
salutary,ks. 1 menyehatkan (of exercise) 2 bermanfaat. to have a s. effect on berakibat baik bagi.
salutation,kb. 1 salam. 2 salam pembukaan/pendahuluan (in correspondence).
salutatorian,"kb. mahasiswa, biasanya juara kedua, yang mengucapkan pidato selamat datang pada upacara hari wisuda (pembagian ijazah)."
salute,"kb. 1 pemberian hormat. 2 saluir. -kkt. 1 menghormat, bersaluir, memberi salut (the flag, on officer). 2 memberi salam (friends)."
salvage,"kb. 1 barang-barang yang diselamatkan.  2 (payment for) penyelamatan/untuk simpanan. 3 tindakan penyelamatan dari kebakaran dsb. -kkt. menyelamatkan (a ship, o's dignity, s.t. from defeat)."
salvation,kb. 1 keselamatan. 2 hal menyelamatkan.
salve,"kb. 1 Mel.: obat (salep). 2 obat penawar (for o's discouragement). -kkt. 1 mengobati, menaruh salep pada, memalit (a cut). 2 menenangkan, meredakan (o's conscience)."
salvo,"kb. 1 salvo, tembakan serentak. 2 sorakan, semburan (of jeers). to fire a s. a) melepaskan tembakan salvo. b) melancarkan serangan bertubi-tubi."
samaritan,kb. orang Samara.
same,ks. 1 sama. 2 serupa. 3 itu juga. 4 yang dulu.
sameness,kb. 1 kesamaan. 2 (similarity) persamaan.
sample,"kb. contoh.  -kkt. 1 mencicipi, mengecap (food). 2 mengalami (the experiences of life). 3 mencoba (a new restaurant). -sampling kb. penarikan contoh."
sampler,kb. 1 (cloth) sulaman. 2 pencoba (of wines).
sanatorium,kb. 1 sanatorium. 2 petirahan.
sanctification,"kb. persucian, penycian, pengsucian"
sanctifies,lih  SANCTIFY.
sanctify,"kkt. (sanctifiied) menyucikan, menguduskan. -sanctified ks. suci (holiday)."
sanctimonious,"ks. berlagak suci, berpura-pura suci, suci lamisan."
sanction,"kb. 1 persetujuan (of s.o.). 2 saksi.  -kkt. menyetujui, mendukung (a proposal)."
sanctity,kb. (j. -ties) kesucian (of the church/home).
sanctuary,kb. (j. -ries) 1 bagian dari gereja didekat altar. 2 Rel.: tempat perlindungan. 3 (wildlife) cagar alam. 4 perlindungan.
sand,"kb. pasir.  -sands. j. pantai pasir.  -kkt. 1 menutupi (jalan) dengan pasir (a road). 2 mengamril, mengampelas (wood)."
sandal,"kb. sandal, cerpu, terompah, lapik kaki. s. tree pohon cendana."
sandalwood,kb. kayu cendana.
sandbag,kb. karung berisi pasir.
sandbank,"kb. beting, gosong."
sandblast,kb. semprotan/semburan pasir (untuk membersihkan tembok dsb).
sandbox,kb. bak pasir (untuk anak-anak).
sander,kb. alat/orang yang menaburkan pasir (of a road). floor s. alat/orang yang menaburi/menggosok lantai dengan pasir.
sandhog,kb. pekerjaan kasar dibawah tanah/air.
sandman,kb. tokoh dalam dongengan yang menidurkan anak dengan menaburkan pasir kedalam mata mereka.
sandpaper,"kb. ampelas, amril. -kkt. mengampelas."
sandpiper,kb. (burung) kedidi.
sandspit,kb. daerah tanjung berpasir.
sandstone,kb. batu pasir/paras.
sandstorm,kb. badai pasir.
sandwich,"kb. roti berlapis/isi/apit. ham s. dua keping roti dengan isi ham, roti apit dengan ham. -kkt. menyisipkan, menyelipkan (between diantara)."
sandy,ks. 1 berpasir. s. beach pantai pasir. 2 pirang-pasir (of color).
sane,"ks. waras otak, sehat ingatan. 2 bijaksana (of speech, views)."
sang,lih  SING.
sanguine,"ks. riang dan penuh harapan, periang dan optimis. He is s. of success Ia berkepercayaan penuh akan berhasil."
sanitarium,"kb. sanatorium, balai tetirah, petirahan."
sanitary,"ks. bersih, sehat. s. engineering teknologi kesehatan."
sanitation,"kb. 1 kebersihan, penjagaan kesehatan/kebersihan. s. department  jawatan kebersihan."
sanitize,"kkt. membersihkan, mendesinfeksi(kan)."
sanity,kb. kesehatan jiwa/rohaniah.
sank,lih   SINK.
sanskrit,kb. bahasa Sansekerta.
santaclaus,"kb. Sinterklas, Sinyo/Santa Kolas."
sap,kb. 1 air/getah tumbuh-tumbuh. 2 Sl.: orang goblok/tolol. -kkt. (sapped) melemahkan (o's energy).
sapling,"kb. pohon muda, anak pohon."
sapphire,"kb. batu nilam, nilakandi."
sappy,"ks. Sl.: gila-gilaan, tolol."
sarcasm,"kb. sarkasme, sindiran tajam."
sarcastic,"ks. sarkastis, tajam."
sarcophagus,kb. peti mayat dari batu.
sardine,kb. ikan sardencis/sarden. We were packed in like sardines Kita berdempet-dempet seperti ikan sardencis.
sardonic,"ks. sengit, tajam."
sarong,"kb. sarong, (kain) sarung."
sarsaparilla,"kb. sarsaparila, saparila."
sartorial,ks. yang berkaitan dengan tukang jahit. He was decked out in s. splendor Dia mengenakan pakaian yang mentereng.
