"t,t","kb. huruf ke-20 dari abjad Inggris.  T-bone (steak) bistik dari daging pinggang lembu, dengan tulang yang berbentuk  T.  T-shirt  kaos oblong.  T-square garisan siku-siku."
t.,1 (time) waktu. 2 (transitive) transitip. 3 [ton(s) ]  ton.
t.h.,[Territory of Hawaii] sekarang negara bagian di AS.
t.p.,[title page] halaman judul.
t/o,[Table of  Organization] skema organisasi.
tab,"kb. 1 punca, label. 2 carikan kain. 3 biaya, rekening. to pick up the t. membayar rekening. 4 etiket.  -kkt. (tabbed) menyebut."
tabby,kb. (j. -bies) kucing betina.
tabernacle,kb. tempat beribadat.
table,"kb. 1 meja. 2 daftar. 3 table, daftar angka. 4  skema. -kki. menangguhkan.  t. d'hote makanan yang disajikan pada waktu tertentu dengan harga yang sudah ditentukan. t. lamp lampu meja/duduk.  t. linen kain-kain yang dipakai  dalam mengatur meja."
tableau,kb. tablo.
tablecloth,"kb. tapelak, kain alas, ulas meja."
tablespoon,kb. sendok makan (besar). a t. of coffe kopi sesendok makan.
tablespoonful,kb. sesendok makan penuh.
tablet,"kb. 1 tablet, pel, gentel. aspirin t. tablet aspirin. 2 buku/kertas catatan. 3 lembaran. clay t. lembaran dari tanah liat."
tabletop,kb. bagian atas (seperti bagian atas pada meja).
tableware,"kb. alat-alat makan-minum, barang-barang pecah-belah."
tabloid,kb. surat kabar kecil (biasanya menggemparkan.
taboo,"kb. 1 tabu. 2 larangan, pantang(an). -kkt. menabukan."
tabular,ks. tersusun dalam tabel atau daftar. t. data  data dalam tabel.
tabulate,"kkt. menyusun menjadi tabel, menstabulasi."
tabulation,"kb. tabulasi, pengolahan."
tabulator,"kb. tabulator, pembuat tabel."
tacit,"ks. diam-diam, tak diucapkan. t. understanding/agreement  tahu sama tahu."
taciturn,ks. bersifat (per)diam.
tack,"kb. 1 paku rebana. 2 Nau.: arah jalannya kapal. -kkt. 1 memakukan (a carpet). 2 Nau.: berpal-pal. 3 melekatkan, melampirkan"
tackle,"kb. 1 katrol, takal. 2 alat.  -kkt. 1 memegang, menangkap (s.o.). 2 mengerjakan, melakukan. 3 Sport : menggasak, mentackle."
tacky,ks. Inf.: jembel.
tact,kb. kebijaksanaan. He is tottally devoid of t. Ia sama sekali tak bijaksana.
tactful,"ks. bjaksana. to be t. bijaksana, pandai, berakal-budi.  -tactfully kk. dengan bijaksana, dengan memakai akal-budi."
tactical,"ks. taktis, bersiasat."
tactician,kb. ahli siasat.
tactics,"kb. taktik, siasat. I don't like his t. Aku tak suka pada cara-caranya."
tactless,"ks. tak bijaksana, canggung."
tactlessness,"kb. ketidakbijaksanaan, kecanggungan."
tadpole,"kb. berudu, cebong."
taffeta,kb. kain taf.
taffy,kb. (j. -fies) sejenis gula-gula.
tag,"kb. 1 etiket, label (on a box). 2 kartu. price t. kartu harga. 3 pening, kepingan untuk nama, tanda pengenal. -kkt. (tagged) membubuhi /memasang etiket (luggage, a bird)."
tail,"kb. 1 ekor (of an animal). 2 ekor, kotek (of a comet, kite). 3 buntut (of a wagon). 4 bagian bawah dari mata logam. 5 bagian belakang. -tails j. Inf.:  jas berekor. -kkt. mengikuti dengan diam-diam, mengekor, membuntuti (s.o.)."
tailgate,kki mengikuti mobil lain terlalu dekat.
tailor,"kb. tukang jahit, penjahit. -kkt.  1 membuat/menjahit pakaian. 2 menyesuaikan.   tailor-made ks. buatan tukang jahit. -tailoring kb. 1  pekerjaan menjahit. 2 jahitan."
taint,"kb. noda. to be free from the t. of sin bersih dari noda dosa. -kkt. menodai, mencemari.  That food is tainted Makanan itu sudah busuk."
take,"kb. 1 akibat 2 Sl.: pendapatan, penerimaan (at a sale). 3 Sl.: pengambilan (of a movie).  -kkt. (took, taken) 1 mengambil). 2 menerima (a bribe).3 memerlukan.4 membawa. 5 menggunakan.6 melakukan. 7 memegang (o's hand). 8 naik (a vehicle). 9 menuruti."
