"u,u",kb. huruf yang keduapuluh satu dari abjad Inggris. U-boat kapal selam (Jerman). U-turn pemutaran balik (berbentuk U).  No U-turn Tak boleh putar-balik.
u.,[University] Universitas.
uar,"[United Arab Republic] kb. R.P.A.,  Republik Persatuan Arab."
ubiquitous,ks. ada dimana-mana. the u. mosquito nyamuk dimana-mana.
udder,kb. ambing.
ugh,kseru. wah ! waduh !
ugliness,"kb. 1 kejelekan/keburukan rupa (in appearance). 2 (offensiveness) kekurangajaran, kenakalan."
ugly,"ks. 1 jelek, buruk. u. face muka yang jelek. 2 berbahaya, parah (wound). 3 Inf.: tak pantas, kurang ajar, kasar (of a statement or action). u. duckling seorang gadis yang buruk rupanya sewaktu kecil tapi setelah dewasa menjadi molek."
uhf,[Ultra High Frekwency]  frekwensi sangat tinggi.
ukulele,"kb. gitar kecil, ukulele."
ulcer,"kb. borok, bisul, puru."
ulcerate,"kkt., kki. memborok, membisul."
ulceration,"kb. pemborokan, keadaan bernanah, koreng."
ulcerous,"ks. berborok, berbisul, bengkak bernanah."
ulna,kb. tulang hasta.
ult.,"[ultimate(ly)] yang penghabisan, terakhir ; akhirnya, kesudahannya. 2 [ultimo] dalam bulan yang lalu."
ulterior,"ks. tersembunyi, yang disembunyikan. u. motive maksud tersembunyi."
ultimate,"kb. yang paling mewah. That is the u. in cars Itulah yang paling mewah diantara semua mobil. -ks. 1 penghabisan, terakhir. the u. purpose tujuan terakhir. 2 pokok, asal.  -ultimately kk. (pada) akhirnya."
ultimatum,"kb. (j. -tum, -ta) ultimatum."
ultimo,kk. dalam bulan yang lalu.
ultra,ks. yang teramat sangat. u. high frequency frekwensi sangat tinggi.
ultraconservative,kb. seorang yang sangat konserpatip. -ks. paling konserpatip.
ultraliberal,ks. sangat liberal.
ultramarine,ks. biru laut/tua/langit.
ultramodern,ks. sangat modern.
ultrasmooth,ks. sangat licin/lihai.
ultraviolet,"ks. ultra-ungu, lembayung ultra. u. rays sinar-sinar ultra-ungu."
umbilical,ks. yang berkaitan dengan pusat. u. cord tali pusat/pusar.
umbrage,kb. rasa tersinggung. to take u. at merasa tersinggung/terhina karena.
umbrella,kb. payung. an u. of fighter planes lindungan (yang terdiri dari) pesawat pemburu.
umlaut,kb. 1 Ling.: umlaut. 2 detik-dua diatas huruf hidup (dalam bahasa Jerman).
umpire,kb. wasit. -kkt. mewasiti. -kki. bertindak sebagai wasit.
umpteen,"ks. Inf.: beberapa, sekian."
umpteenth,"ks. Inf.: yang kesekian. For the u. time, 'No !' Untuk kesekian kalinya, 'Tidak !'"
"un,u.n.",[United Nations] kb. Perserikatan Bangsa-bangsa.
un-american,"ks. tidak bersifat Amerika, bertentangan dengan watak  Amerika."
