v,"kb. huruf ke -22 dalam abjad Inggris. V-neck kb. leher berbentuk V (of sweater, shirt)."
v.,"1 [verb] katakerja. 2 [verse] sajak, bait. 3 [versus] lawan. 4 [vocative] vokatip. 5 vice] wakil. 6 [volume] jilid."
v.a.,1 [Veterans Administration] Administrasi Veteran. 2 [Vice Admiral] Laksamana Madya.
v.c.,kb. 1 [Vietcong] Vietcong. 2 [Vice Consul]  wakil konsul.
v.i.,[Virgin Islands] kepulauan Virgin.
"v.p., vp",[Vice-President] Wakil Presiden.
va,[Veteran Administration] Administrasi Veteran.
va.,[Virginia] negarabagian AS.
vacancy,"kb. (j. -cies) lowongan. ' No v.' 'Penuh.'  'Tiada kamar kosong,'  'Tiada lowongan pekerjaan.'"
vacant,"ks. 1 kosong (of a house). 2 lowong (of a job, post). 3 ngelamun, teringa-inga, kosong, hampa (of a look)."
vacate,"kkt. 1 mengosongkan (the premises, o's office, a room). 2 melowongi."
vacation,"kb. liburan. to take a v., to be on v. berlibur. -kki. berlibur."
vacationist,"kb. pelibur, orang yang berlibur."
vacationland,kb. daerah untuk berlibur.
vaccinate,kkt. mencacar (for smallpox).
vaccination,kb. pencacaran. v. certificate surat cacar.
vaccinator,kb. pencacar.
vaccine,kb. vaksin.
vacillate,kki. terombang-ambing (between antara). -vacillating ks. bimbang.
vacillation,kb. kebimbangan.
vacuous,ks. kosong.
vacuum,"kb. pakum, kekosongan, ruangan hampa. v. bottle/flask botol pakum, tabung hampa  udara. -kkt. membersihkan babut dengan alat penghisap debu (a room, rug).  vacuum-packed ks. dimasukkan kaleng tak berhawa (coffee)."
vagabond,"kb. pengembara, (orang) gelandangan."
vagary,"kb. (j. -ries) tingkah, tingkah-laku yang aneh, canda."
vagina,"kb. liang peranakan, farji, puki, pukas."
vaginal,kb. yang berkaitan dengan liang peranakan.
vagrancy,kb. (j. -cies) pergelangan.
vagrant,"kb. 1 orang gelandangan, pengembara. 2 tunawisma."
vague,"ks. samar-samar, tidak jelas. I haven't the vaguest idea Saya tak ada pengertian sedikitpun. -vaguely kk. samar-samar, tidak jelas."
vagueness,"kb. kesamaran, ketidakjelasan."
vain,"kb. in v. dengan sia-sia.  -ks. 1 sombong (person). 2 sia-sia (hope, effort). -vainly kk. dengan sia-sia, gagal."
vainglorious,"ks. sombong, angkuh, besar kepala."
valance,kb. renda kelambu/seprei.
vale,"kb. lembah. this v. of tears mayapada, dunia ini."
valedictory,kb. (j. -ries) pidato perpisahan.
valence,kb. valensi.
valentine,kb. tanda kasih. Valentine's Day tanggal 14 Pebruari.
valet,kb. pelayan pria.
valiant,ks. (gagah-) berani. -valiantly kk. dengan keberanian/kepahlawanan.
valid,"ks. 1 sah, syah, absah, sahih (contract, excuse). 2 benar (statement). no longer v. tidak berlaku lagi."
validate,"kkt. mensyahkan, mengsahkan."
validation,kb. pengesahan.
validity,"kb. (j. -ties) 1 kebenaran (of a statement). 2 keabsahan, berlakunya (of a passport)."
valise,kb. kopor kecil.
valley,kb. lembah.
valor,kb. keberanian.
