w,kb. huruf ke-23 dari abjad Inggris.
w.,"1 [west(ern)] sebelah barat, barat. 2 [with] dengan."
w. va.,[West Virginia] negarabagian di AS.
w.c.,"[water closet] kb. wese, kakus, jamban, W.C."
w.i.,[West Indies] Hindia Barat.
w.w.,1 [Wednesday] hati Rabu. 2 [West] Barat. 3 [Western] (di bagian sebelah) Barat. 4 [Washington] Washington.
wa(a)c,[Women's Army Auxiliary) Corps ] kb. Korps Wanita Angkatan Darat.
wackiness,"kb. Sl.: kesintingan, keedanan."
wacky,"ks. Sl.: sinting, edan, sendeng, singit."
wad,"kb. 1 gumpal.  a w. of cotton segumpal kapas. 2 berkas. -kkt. (wadded) to w. up menggulung, menggumpal(kan). -wadding kb. gumpalan, bahan kapas (untuk pengisi)."
waddle,"kb. goyangan, guncangan. to walk with a w.  berjalan terkedek-kedek/tergoyang-goyang (seperti bebek). -kki. berjalan terkedek-kedek, bergoyang-goyang."
wade,"kb. seberangan, penyebrangan. -kkt. menyeberang, mengarungi (a stream). -kki. to w. in 1 datang menyeberangi air. 2 Inf.: datang menyerbu (of the police). Inf.: to w. into menyerang (s.o)."
waf,[Women's Air Force] kb. Korps Wanita Angkatan Udara.
wafer,kb. 1 semacam biskit tipis. 2 semacam tablet berisi bubuk obat.
waffle,kb. kue sepit/wafel. w. iron cetakan kue sepit/wafel.
waft,"kkt. membawa, menghembus."
wag,"kb. 1 pelawak, orang jenaka. 2 kebaran, kibasan (of the tail). -kkt. (wagged) mengibas-ngibaskan (the tail). -kki. 1 mengibaskan (of a tail). 2 mengobrol, bergunjing, menggunjing (of tongues)."
wage,"kb. gaji, upah. -kkt. to w. war berperang."
wager,"kb. taruhan, petaruh(an). to make a w. bertaruh. -kkt., kki. berani bertaruh. to w. on a horse memasang taruhan pada seekor kuda, bertaruh pada/atas seekor kuda."
waggish,"ks. jenaka, suka bersenda-gurau/ bercanda."
waggle,kkt. mengibas-ngibaskan (the tail). -kki. mengibas.
wagon,"kb. 1 gerbong, kereta. w. train iring-iringan kereta berkuda. 2 (battle-) kapal perang. 3 mobil stasion-wagon."
wagonload,kb. muatan sekereta penuh.
wahoo,"kseru, horee."
waif,kb. anak terlantar.
wail,"kb. 1 ratapan, raungan (of a person). 2 lengkingan (of a siren). -kki. 1 meraung, mengaung, bergaduh. 2 meratap. The woman wailed Wanita itu meratap. -wailing kb. ratapan."
wainscot,"kb. kayu lis, lapis kayu pada dinding. -kkt. memberi bingkai kayu pada dinding. -wainscoting kb. 1 bingkai/lis dinding. 2 pembingkaian dinding."
waist,"kb. pinggang. waist-deep, waist-high ks. setinggi pinggang."
waistband,kb. ikat pinggang.
waistline,kb. ukuran pinggang.
wait,kb. masa menunggu. -kkt. menangguhkan (dinner). -kki. menunggu.  -waiting kb. menunggu. w. list daftar nama orang-orang yang menunggu.
waiter,"kb. pelayan, pramubhakti. W.! Jang ! Pelayan ! Bung !."
waitress,kb. pelayan wanita. W.! Pelayan ! Dik ! Zus ! Sis !.
waive,kkt. melepaskan (a right).
waiver,"kb. surat pernyataan melepaskan tuntutan. w. of immunity pelepasan hak kekebalan, surat pernyataan pembebasan (dari tuntutan)."
wake,"kb. 1 air baling-baling, jaluran ombak (of a ship). 2 Rel.: berjaga semalam suntuk disamping jenazah. -kkt. (waked atau woke, waked atau woken) membangunkan (s.o).  -kki. bangun."
waken,#NAME?
